

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
041.155  000.087  000.087: require('vim.lsp.diagnostic')
041.244  000.088  000.088: require('vim.lsp.codelens')
041.302  001.573  000.194: require('vim.lsp')
041.682  000.086  000.086: require('vim.treesitter.language')
041.686  000.183  000.097: require('vim.treesitter.query')
042.062  000.102  000.102: require('vim.treesitter.languagetree')
042.083  000.213  000.111: require('vim.treesitter')
042.162  000.392  000.179: require('nvim-treesitter.parsers')
042.211  000.048  000.048: require('nvim-treesitter.utils')
042.216  000.491  000.050: require('nvim-treesitter.ts_utils')
042.219  000.532  000.041: require('nvim-treesitter.tsrange')
042.254  000.035  000.035: require('nvim-treesitter.caching')
042.260  000.802  000.052: require('nvim-treesitter.query')
042.267  000.867  000.065: require('nvim-treesitter.configs')
042.279  000.953  000.087: require('user.ui.treesitter_config')
042.346  000.066  000.066: require('user.files.vimtex_config')
042.431  000.084  000.084: require('user.colorschemes.nightfly_config')
042.952  000.383  000.383: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/catppuccin/colors/catppuccin.vim
044.619  002.187  001.804: require('user.colorschemes.onedarkpro_config')
044.799  000.039  000.039: require('toggleterm.lazy')
044.836  000.035  000.035: require('toggleterm.constants')
044.899  000.062  000.062: require('toggleterm.terminal')
044.903  000.205  000.069: require('toggleterm')
044.984  000.039  000.039: require('toggleterm.colors')
045.029  000.043  000.043: require('toggleterm.utils')
045.032  000.127  000.045: require('toggleterm.config')
045.080  000.003  000.003: require('vim.keymap')
045.195  000.059  000.059: require('toggleterm.commandline')
045.205  000.585  000.191: require('user.term.toggleterm_config')
045.349  000.078  000.078: require('wilder')
045.396  000.046  000.046: require('wilder.shim')
045.668  000.040  000.040: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/wilder.nvim/autoload/wilder/lua.vim
046.346  000.499  000.499: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/wilder.nvim/autoload/wilder.vim
046.533  000.019  000.019: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/wilder.nvim/autoload/wilder/setup.vim
046.761  000.029  000.029: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/wilder.nvim/autoload/wilder/options.vim
047.226  000.032  000.032: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/wilder.nvim/autoload/wilder/cache.vim
047.637  000.604  000.571: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/wilder.nvim/autoload/wilder/cmdline.vim
048.042  000.038  000.038: sourcing /opt/homebrew/Cellar/neovim/HEAD-5f3b76d/share/nvim/runtime/autoload/provider/pythonx.vim
048.320  000.088  000.088: sourcing /opt/homebrew/Cellar/neovim/HEAD-5f3b76d/share/nvim/runtime/autoload/remote/host.vim
048.369  000.530  000.405: sourcing /opt/homebrew/Cellar/neovim/HEAD-5f3b76d/share/nvim/runtime/autoload/provider/python3.vim
048.595  000.015  000.015: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/wilder.nvim/autoload/wilder/pipe/subpipeline.vim
048.810  000.011  000.011: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/wilder.nvim/autoload/wilder/pipe/check.vim
049.036  000.035  000.035: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/wilder.nvim/autoload/wilder/pipe/result.vim
049.320  000.021  000.021: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/wilder.nvim/autoload/wilder/pipe/branch.vim
049.714  000.019  000.019: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/wilder.nvim/autoload/wilder/pipe/vim_search.vim
050.104  000.102  000.102: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/wilder.nvim/autoload/wilder/highlighter.vim
050.357  000.032  000.032: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/wilder.nvim/autoload/wilder/renderer/wildmenu_float_or_popup.vim
050.638  000.112  000.112: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/wilder.nvim/autoload/wilder/renderer/wildmenu.vim
050.894  000.079  000.079: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/wilder.nvim/autoload/wilder/render.vim
051.142  000.023  000.023: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/wilder.nvim/autoload/wilder/renderer/component/wildmenu_arrows.vim
051.441  000.081  000.081: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/wilder.nvim/autoload/wilder/highlight.vim
052.508  000.075  000.075: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/wilder.nvim/autoload/wilder/renderer/nvim_api.vim
052.742  007.536  005.085: require('user.term.wilder_config')
052.743  035.113  001.051: require('plugconfig')
052.868  000.124  000.124: require('keymapping')
053.015  000.043  000.043: require('mason-core.path')
053.020  000.090  000.047: require('mason.settings')
053.190  000.041  000.041: require('lsp-zero.presets')
053.281  000.037  000.037: require('lsp-zero.settings')
053.284  000.093  000.056: require('lsp-zero.server')
053.287  000.192  000.058: require('lsp-zero')
053.919  000.032  000.032: require('cmp.utils.debug')
054.000  000.044  000.044: require('cmp.utils.char')
054.004  000.085  000.040: require('cmp.utils.str')
054.040  000.035  000.035: require('cmp.utils.pattern')
054.157  000.040  000.040: require('cmp.utils.misc')
054.197  000.038  000.038: require('cmp.utils.buffer')
054.232  000.034  000.034: require('cmp.utils.api')
054.236  000.163  000.051: require('cmp.utils.keymap')
054.238  000.197  000.034: require('cmp.utils.feedkeys')
054.277  000.038  000.038: require('cmp.utils.async')
054.374  000.031  000.031: require('cmp.types.cmp')
054.429  000.055  000.055: require('cmp.types.lsp')
054.461  000.030  000.030: require('cmp.types.vim')
054.462  000.151  000.035: require('cmp.types')
054.495  000.033  000.033: require('cmp.utils.cache')
054.497  000.219  000.035: require('cmp.context')
054.612  000.038  000.038: require('cmp.config.mapping')
054.687  000.040  000.040: require('cmp.config.compare')
054.688  000.075  000.035: require('cmp.config.default')
054.695  000.159  000.046: require('cmp.config')
054.778  000.038  000.038: require('cmp.matcher')
054.781  000.085  000.047: require('cmp.entry')
054.784  000.287  000.043: require('cmp.source')
054.854  000.032  000.032: require('cmp.utils.event')
054.931  000.038  000.038: require('cmp.utils.window')
054.932  000.077  000.039: require('cmp.view.docs_view')
055.019  000.033  000.033: require('cmp.utils.autocmd')
055.023  000.080  000.047: require('cmp.view.custom_entries_view')
055.063  000.039  000.039: require('cmp.view.wildmenu_entries_view')
055.103  000.039  000.039: require('cmp.view.native_entries_view')
055.142  000.038  000.038: require('cmp.view.ghost_text_view')
055.146  000.361  000.055: require('cmp.view')
055.161  001.329  000.075: require('cmp.core')
055.236  000.033  000.033: require('cmp.config.sources')
055.278  000.041  000.041: require('cmp.config.window')
055.297  001.929  000.526: require('cmp')
055.299  001.980  000.052: require('cmp_nvim_lua')
055.357  000.057  000.057: require('lsp-zero.installer')
055.489  000.059  000.059: require('mason-core.functional')
055.569  000.031  000.031: require('mason-core.functional.data')
055.572  000.070  000.039: require('mason-core.functional.function')
055.614  000.036  000.036: require('mason-core.functional.relation')
055.648  000.031  000.031: require('mason-core.functional.logic')
055.657  000.265  000.068: require('mason-core.platform')
