

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
075.684  000.063  000.063: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/lazygit.nvim/plugin/lazygit.vim
075.878  000.011  000.011: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/lsp-zero.nvim/plugin/lsp-zero.vim
076.194  000.092  000.092: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/LuaSnip/plugin/luasnip.vim
076.395  000.022  000.022: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/lush.nvim/plugin/lush.vim
076.894  000.153  000.153: require('session_manager.subcommands')
076.905  000.180  000.027: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/neovim-session-manager/plugin/session_manager.lua
077.835  000.795  000.795: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/nerdcommenter/plugin/nerdcommenter.vim
078.029  000.013  000.013: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/nightfox.nvim/plugin/nightfox.vim
078.330  000.049  000.049: require('cmp.utils.highlight')
078.529  000.268  000.219: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/nvim-cmp/plugin/cmp.lua
078.741  000.035  000.035: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/nvim-lspconfig/plugin/lspconfig.lua
079.127  000.040  000.040: require('nvim-treesitter.info')
079.183  000.055  000.055: require('nvim-treesitter.shell_command_selectors')
079.192  000.170  000.075: require('nvim-treesitter.install')
079.233  000.040  000.040: require('nvim-treesitter.statusline')
079.282  000.048  000.048: require('nvim-treesitter.query_predicates')
079.283  000.302  000.044: require('nvim-treesitter')
079.472  000.506  000.204: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/nvim-treesitter/plugin/nvim-treesitter.lua
079.632  000.021  000.021: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/nvim-web-devicons/plugin/nvim-web-devicons.vim
079.830  000.018  000.018: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/onedarkpro.nvim/plugin/onedarkpro.vim
080.173  000.038  000.038: require('nvim-treesitter-playground')
080.198  000.080  000.041: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/playground/plugin/nvim-treesitter-playground.lua
080.342  000.019  000.019: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/plenary.nvim/plugin/plenary.vim
080.613  000.039  000.039: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/smart-splits.nvim/plugin/smart-splits.lua
080.797  000.014  000.014: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/tabby.nvim/plugin/tabby.vim
081.147  000.105  000.105: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/telescope.nvim/plugin/telescope.lua
081.288  000.017  000.017: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/todo-comments.nvim/plugin/todo.vim
081.668  000.080  000.080: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/undotree/plugin/undotree.vim
082.020  000.170  000.170: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/vim-closetag/plugin/closetag.vim
082.268  000.036  000.036: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/vim-cursorword/plugin/cursorword.vim
082.992  000.546  000.546: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/vim-fugitive/plugin/fugitive.vim
083.453  000.218  000.218: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/vim-sleuth/plugin/sleuth.vim
083.832  000.200  000.200: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/vim-surround/plugin/surround.vim
084.033  000.023  000.023: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/vimtex/plugin/vimtex.vim
084.173  006.507: loading packages
086.634  000.035  000.035: require('cmp_buffer.timer')
086.636  000.084  000.049: require('cmp_buffer.buffer')
086.637  000.142  000.057: require('cmp_buffer.source')
086.638  000.190  000.049: require('cmp_buffer')
086.652  000.224  000.034: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/cmp-buffer/after/plugin/cmp_buffer.lua
086.848  000.076  000.076: require('cmp_cmdline')
086.855  000.101  000.025: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/cmp-cmdline/after/plugin/cmp_cmdline.lua
086.979  000.022  000.022: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/cmp-nvim-lsp/after/plugin/cmp_nvim_lsp.lua
087.102  000.022  000.022: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/cmp-nvim-lua/after/plugin/cmp_nvim_lua.lua
087.275  000.057  000.057: require('cmp_path')
087.281  000.079  000.022: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/cmp-path/after/plugin/cmp_path.lua
087.459  000.058  000.058: require('cmp_luasnip')
